Sensor Position: [0, 1,57, 50]

--- Ray 0 ---
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
4,37, 0,5810206, 47,18, 94,60936, 4,550227
4,37, 0,5810206, 47,18, 104,6074, 4,177436
4,37, 0,5810206, 47,18, 110,1912, 3,990008
4,37, 0,5810206, 47,18, 114,5775, 3,853875
4,37, 0,5810206, 47,18, 118,3255, 3,745438
4,37, 0,5810206, 47,18, 121,66, 3,655098
4,37, 0,5810206, 47,18, 124,6977, 3,577814
4,37, 0,5810206, 47,18, 127,5075, 3,510555
4,37, 0,5810206, 47,18, 130,1337, 3,451325
4,37, 0,5810206, 47,18, 132,6064, 3,398731
4,37, 0,5810206, 47,18, 134,9466, 3,351756
4,37, 0,5810206, 47,18, 137,1691, 3,309633
4,37, 0,5810206, 47,18, 139,2842, 3,271768
4,37, 0,5810206, 47,18, 141,2988, 3,237689
4,37, 0,5810206, 47,18, 143,2171, 3,207021
4,37, 0,5810206, 47,18, 145,0409, 3,179453
4,37, 0,5810206, 47,18, 146,7699, 3,154734
4,37, 0,5810206, 47,18, 148,4016, 3,132653
4,37, 0,5810206, 47,18, 149,9319, 3,113035
4,37, 0,5810206, 47,18, 151,3546, 3,095734
4,37, 0,5810206, 47,18, 152,6617, 3,080626
4,37, 0,5810206, 47,18, 153,8438, 3,06761
4,37, 0,5810206, 47,18, 154,8895, 3,056602
4,37, 0,5810206, 47,18, 155,7869, 3,047532
4,37, 0,5810206, 47,18, 156,5237, 3,040345
4,37, 0,5810206, 47,18, 157,0879, 3,034998
4,37, 0,5810206, 47,18, 157,4693, 3,031461
4,37, 0,5810206, 47,18, 157,6603, 3,029713
4,37, 0,5810206, 47,18, 157,657, 3,029743
4,37, 0,5810206, 47,18, 157,4594, 3,031553
4,37, 0,5810206, 47,18, 157,0715, 3,035151
4,37, 0,5810206, 47,18, 156,5013, 3,040561
4,37, 0,5810206, 47,18, 155,7589, 3,04781
4,37, 0,5810206, 47,18, 154,8561, 3,056945
4,37, 0,5810206, 47,18, 153,8055, 3,068022
4,37, 0,5810206, 47,18, 152,6191, 3,081107
4,37, 0,5810206, 47,18, 151,3078, 3,096287
4,37, 0,5810206, 47,18, 149,8814, 3,113667
4,37, 0,5810206, 47,18, 148,3475, 3,133366
4,37, 0,5810206, 47,18, 146,7123, 3,155534
4,37, 0,5810206, 47,18, 144,9801, 3,180348
4,37, 0,5810206, 47,18, 143,1531, 3,208015
4,37, 0,5810206, 47,18, 141,2316, 3,238796
4,37, 0,5810206, 47,18, 139,2136, 3,272996
4,37, 0,5810206, 47,18, 137,0949, 3,311001
4,37, 0,5810206, 47,18, 134,8686, 3,353278
4,37, 0,5810206, 47,18, 132,5241, 3,400432
4,37, 0,5810206, 47,18, 130,0465, 3,453235
4,37, 0,5810206, 47,18, 127,4146, 3,512713
4,37, 0,5810206, 47,18, 124,598, 3,580277
4,37, 0,5810206, 47,18, 121,5514, 3,657949
4,37, 0,5810206, 47,18, 118,205, 3,748809
4,37, 0,5810206, 47,18, 114,4397, 3,858
4,37, 0,5810206, 47,18, 110,0252, 3,995353
4,37, 0,5810206, 47,18, 104,3795, 4,185413
4,37, 0,5810206, 47,18, 93,83701, 4,580852
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
-3,24, 1,56, 46,1, 116,9954, 5,237947
-3,24, 1,56, 46,1, 117,8952, 5,081911
-3,24, 1,56, 46,1, 118,795, 4,936085
-3,24, 1,56, 46,1, 119,6948, 4,799545
-3,24, 1,56, 46,1, 120,5946, 4,671479
-3,24, 1,56, 46,1, 121,4945, 4,551162
-3,24, 1,56, 46,1, 122,3943, 4,437954
-3,24, 1,56, 46,1, 123,2941, 4,331285
-3,24, 1,56, 46,1, 124,1939, 4,230643
-3,24, 1,56, 46,1, 125,0937, 4,135569
